municipio;habitantes;grupo;concejal_cultura;concejal_fiestas;telefono;que_es_ese_telefono;email;web;verificado;fuente;tecnico_cultura
Peligros;11725;A;;;958 40 00 65;Centralita;info@ayuntamientopeligros.es;ayuntamientopeligros.es;22/09/2026;https://ayuntamientopeligros.es/contacto/;
Alhendín;10475;A;;;958 57 61 36;Centralita (teatro 958 55 85 13);;alhendin.es;22/09/2026;https://alhendin.es/telefonos-de-interes/;
Monachil;8664;A;;;958 50 18 21;Casa de la Cultura;casadelacultura@monachil.es;monachil.es;22/09/2026;https://monachil.es/directorio-municipal;
Cenes de la Vega;8254;A;;;958 48 60 01;Centralita;registro@cenesdelavega.es;cenesdelavega.es;22/09/2026;https://www.cenesdelavega.es/contactar-areas-gobierno;
Cúllar Vega;7947;A;;;958 57 40 07;Casa de la Cultura (la centralita es 958 58 54 80);cultura@cullarvega.com;cullarvega.com;22/09/2026;https://cullarvega.com/casa-cultura/;
Villa de Otura;7696;A;;;958 55 51 01;Centralita;info@ayuntamientodeotura.es;ayuntamientodeotura.es;22/09/2026;https://ayuntamientodeotura.es/;
Gójar;6371;A;Rubén Melgarejo Fernández;María Isabel Yáñez Martín;958 50 91 52;Directo del técnico de Cultura y Deporte;info@gojar.es;gojar.es;21/09/2026;https://gojar.es/cultura/;
Alfacar;5834;A;;;958 54 30 02;Centralita;;ayuntamientodealfacar.es;21/09/2026;https://ayuntamientodealfacar.es/;
Pulianas;5659;A;;;958 42 60 01;Centralita;info@ayuntamientopulianas.com;pulianas.es;22/09/2026;https://www.pulianas.es/contacto/;
Cájar;5511;A;Juan Antonio Carrillo Jiménez;;623 25 88 31;Móvil directo del concejal de Cultura;j.carrillo@cajar.es;cajar.es;21/09/2026;https://cajar.es/corporacion-municipal-2/;
Motril;59862;B;;;958 83 83 02;Centralita (biblioteca 958 60 47 11);;motril.es;22/09/2026;https://motril.es/informacion-y-contacto/telefonos-de-interes/;
Almuñécar;27544;B;Alberto Manuel García Gilabert;;958 83 86 26;Casa de la Cultura (la centralita es 958 83 86 00);culturalmunecar@almunecar.es;almunecar.es;22/09/2026;https://www.almunecar.es/ciudad/telefonos-de-interes/;
Loja;20951;B;Matilde Ortiz Arca;;958 32 23 13;Centro de Iniciativas Culturales El Pósito (la centralita es 958 32 11 56);cultura@aytoloja.org;aytoloja.org;22/09/2026;http://www.aytoloja.org/cultura/directorio.htm;Juan Alonso Sánchez Martínez (director de Cultura)
Baza;20587;B;Maribel Cano Ruiz;Maribel Cano Ruiz (Cultura y Festejos);958 70 03 95;Centralita (la concejala atiende con cita previa);maribel.cano@ayuntamientodebaza.es;ayuntamientodebaza.es;22/09/2026;https://ayuntamientodebaza.es/ayuntamiento/areas-de-gobierno/gobernacion-y-personal/concejala-de-cultura/;
Guadix;18881;B;Encarnación Pérez Rodríguez;;958 66 93 00;Centralita;;guadix.es;22/09/2026;https://guadix.es/corporacion-municipal/;
Santa Fe;15494;B;;;958 44 06 06;Casa de la Cultura José Rodríguez Tabasco (la centralita es 958 44 00 00);casacultura@santafe.es;santafe.es;22/09/2026;https://www.bibliotecaspublicas.es/santafe/Localizacion-Horarios.html;
Salobreña;12760;B;;;958 61 06 30;Casa de la Cultura (la centralita es 958 61 00 11);ayto-salobrena@ayto-salobrena.org;ayto-salobrena.es;22/09/2026;https://www.ayto-salobrena.es/web/telefonos-de-interes/;
Huétor Tájar;10749;B;;;958 33 42 61;Casa de la Cultura (la centralita es 958 33 21 11);cultura@huetortajar.org;huetortajar.org;22/09/2026;https://huetortajar.org/servicios/casa-de-la-cultura/;
Íllora;9923;B;;;958 43 39 26;Centralita;info@illora.com;illora.com;22/09/2026;https://illora.com/telefonos/;
Pinos Puente;9807;B;;;958 45 01 36;Centralita;ayuntamiento@pinos-puente.org;pinos-puente.org;22/09/2026;https://pinos-puente.org/ayuntamiento/telefonos-de-interes/;
Padul;9667;B;;;958 79 00 12;Centralita;ayuntamiento@padul.org;padul.org;22/09/2026;https://www.padul.org/ayuntamiento/contacto-institucional/;
Albuñol;7388;B;;;958 82 60 60;Centralita;registro@albunol.es;albunol.es;22/09/2026;https://www.albunol.es/municipio/informacion;
Huéscar;7241;B;;;958 74 00 36;Centralita;huescar@dipgra.es;aytohuescar.es;22/09/2026;https://www.aytohuescar.es/;
Dúrcal;7234;B;;;958 78 00 13;Centralita;secretario@adurcal.com;adurcal.com;22/09/2026;https://www.adurcal.com/telefonos/;
Chauchina;5817;B;;;958 45 51 20;Centralita;;chauchina.es;22/09/2026;https://chauchina.es/;
Órgiva;5728;B;;;958 78 52 12;Centralita;registro@aytoorgiva.org;ayuntamientodeorgiva.es;22/09/2026;https://www.ayuntamientodeorgiva.es/telefonos-de-interes/;
Alhama de Granada;5544;B;;;958 35 01 61;Centralita;ayuntamiento@alhama.org;alhama.org;22/09/2026;https://news.alhamadegranada.info/ayuntamiento/;
Gualchos;5284;B;;;958 65 62 37;Centralita;ayuntamiento@gualchos.es;gualchos.es;22/09/2026;https://www.gualchos.es/ayuntamiento/;
Montefrío;5283;B;;;958 33 61 36;Centralita (turismo 958 33 60 04);jacv@montefrio.org;montefrio.org;22/09/2026;http://www.montefrio.org/paginas/telefonos.htm;
Diputación de Granada;;Diputación;;;958 24 75 00;Centralita;dipgra@dipgra.es;dipgra.es;21/09/2026;https://www.dipgra.es/servicios/areas/cultura/;
